Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Max Exposure,Min Exposure,Projected Ownership,Expected Success,Expected Failure,Expected Value,Min Deviation,Max Deviation
44002-16233,SG,Josh,Josh Richardson,Richardson,25.89555664,45,5200,NY@PHI,PHI,NY,,,,0.7,0,0.6,0.1,0.1,1.38,0.3,0.5
44002-15946,SF,Harrison,Harrison Barnes,Barnes,24.9684202,57,5100,SAC@OKC,SAC,OKC,,,,0.7,0,0.2,0.2,0.2,1.39,0.3,0.5
44002-110357,SG,RJ,RJ Barrett,Barrett,25.52244848,49,5000,NY@PHI,NY,PHI,,,,0.7,0,0.5,0.3,0.3,1.4,0.3,0.5
44002-12368,PF,Nemanja,Nemanja Bjelica,Bjelica,26.64912281,57,5000,SAC@OKC,SAC,OKC,,,,0.7,0,0.4,0.4,0.4,1.41,0.3,0.5
44002-19781,SF,Kent,Kent Bazemore,Bazemore,19.33684125,57,4900,SAC@OKC,SAC,OKC,,,,0.7,0,0.3,0.5,0.5,1.42,0.3,0.5
44002-9538,SF,Trevor,Trevor Ariza,Ariza,18.99347853,46,4800,POR@IND,POR,IND,,,,0.7,0,0.6,0.6,0.6,1.43,0.3,0.5
44002-15684,SG,Victor,Victor Oladipo,Oladipo,17.11249924,8,4800,POR@IND,IND,POR,GTD,Back,,0.7,0,0.2,0.7,0.7,1.44,0.3,0.5
44002-23447,PF,Richaun,Richaun Holmes,Holmes,30.90000132,37,4800,SAC@OKC,SAC,OKC,O,Shoulder,,0.7,0,0.5,0.8,0.8,1.45,0.3,0.5
44002-9453,PF,Al,Al Horford,Horford,29.64999955,54,4800,NY@PHI,PHI,NY,,,,0.7,0,0.4,0.9,0.9,1.46,0.3,0.5
44002-55060,SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,24.68695599,46,4700,SAC@OKC,SAC,OKC,,,,0.7,0,0.3,0.1,0.1,1.47,0.3,0.5
